Experiment Name: DNN_complete_data_adadelta
Number of training samples: 21432
Number of validation samples: 2678
Number of testing samples: 2680
Number of features: 89
Iteration	ROC_AUC	Avg. Precision	Sensitivity	Specificity	PPV	Accuracy
1	0.8462581651555036	0.8457489169904868	0.799267399267	0.736121673004	0.758692628651	0.76828358209
2	0.8412145015947298	0.8430258070393619	0.805860805861	0.718631178707	0.748299319728	0.763059701493
3	0.8435393250602377	0.8427725809367836	0.808791208791	0.708745247148	0.742434431742	0.759701492537
4	0.8457777963481385	0.8458678082668678	0.816117216117	0.701140684411	0.739216987392	0.759701492537
5	0.8366012061449325	0.8374133986017798	0.813919413919	0.705703422053	0.741655540721	0.760820895522
6	0.850768395102996	0.8494970168806779	0.804395604396	0.728517110266	0.754639175258	0.767164179104
7	0.8455889357790498	0.8446771685236893	0.802197802198	0.727756653992	0.75361321404	0.765671641791
8	0.8396398278527557	0.8402315555004405	0.776556776557	0.739163498099	0.755523877406	0.758208955224
9	0.8414498809175615	0.8424291912549744	0.774358974359	0.746007604563	0.759884974838	0.760447761194
10	0.8312725803980556	0.8335046547718443	0.80293040293	0.701901140684	0.736559139785	0.753358208955
Avg.	0.842211061435	0.842516809877	0.80043956044	0.721368821293	0.749051928956	0.761641791045
Execution time: 9147.68146205 sec.
